#q*Aangstroem	C14_ESRF_ID01 (4200 mm)*cm*sr	stddev*cm*sr
0.053765	36.221	0.015319
0.053820	36.301	0.015311
0.053874	36.335	0.021066
0.053929	36.322	0.017930
0.053983	36.330	0.020296
0.054037	36.341	0.019119
0.054092	36.335	0.017561
0.054146	36.317	0.015916
0.054201	36.300	0.016493
0.054255	36.323	0.017458
0.054310	36.328	0.016400
0.054364	36.317	0.017448
0.054419	36.338	0.016561
0.054473	36.345	0.017143
0.054527	36.352	0.017679
0.054582	36.338	0.017081
0.054636	36.324	0.017842
0.054691	36.309	0.019825
0.054745	36.314	0.018548
0.054800	36.319	0.018524
0.054854	36.331	0.019810
0.054909	36.314	0.023486
0.054963	36.293	0.020523
0.055017	36.303	0.017607
0.055072	36.292	0.018378
0.055126	36.289	0.019490
0.055181	36.306	0.017778
0.055235	36.305	0.018001
0.055290	36.304	0.018391
0.055344	36.302	0.019908
0.055398	36.294	0.022443
0.055453	36.304	0.018349
0.055507	36.300	0.018656
0.055562	36.306	0.019612
0.055616	36.303	0.021148
0.055671	36.282	0.023905
0.055725	36.302	0.019311
0.055780	36.292	0.019869
0.055834	36.293	0.021355
0.055888	36.310	0.026885
0.055943	36.336	0.021207
0.055997	36.316	0.024181
0.056052	36.308	0.023943
