#q*Aangstroem	C14_ESRF_ID01 (521 mm)*cm*sr	stddev*cm*sr
0.38079	1.2385	0.0013543
0.38122	1.2332	0.0014921
0.38166	1.2291	0.0013657
0.38209	1.2248	0.0012717
0.38253	1.2202	0.0012702
0.38296	1.2159	0.0012730
0.38340	1.2126	0.0012752
0.38383	1.2081	0.0012764
0.38427	1.2029	0.0012708
0.38470	1.1988	0.0012672
0.38514	1.1947	0.0012703
0.38557	1.1903	0.0012765
0.38600	1.1860	0.0012913
0.38644	1.1815	0.0013095
0.38687	1.1770	0.0013677
0.38731	1.1729	0.0012550
0.38774	1.1682	0.0012560
0.38818	1.1632	0.0012592
0.38861	1.1587	0.0012598
0.38905	1.1545	0.0012687
0.38948	1.1503	0.0012876
0.38992	1.1468	0.0013460
0.39035	1.1427	0.0012388
0.39078	1.1378	0.0012421
0.39122	1.1333	0.0012460
0.39165	1.1298	0.0012577
0.39209	1.1256	0.0012956
0.39252	1.1212	0.0012237
0.39296	1.1178	0.0012221
0.39339	1.1139	0.0012212
0.39383	1.1091	0.0012192
0.39426	1.1045	0.0012181
0.39469	1.1010	0.0012185
0.39513	1.0978	0.0012192
0.39556	1.0944	0.0012196
0.39600	1.0901	0.0012200
0.39643	1.0867	0.0012251
0.39687	1.0827	0.0012314
0.39730	1.0791	0.0012437
0.39774	1.0714	0.0012700
0.39817	1.0635	0.0013003
0.39860	1.0675	0.0014045
0.39904	1.0645	0.0011951
0.39947	1.0604	0.0011931
0.39991	1.0559	0.0011915
0.40034	1.0524	0.0011900
0.40077	1.0491	0.0011890
0.40121	1.0455	0.0011876
0.40164	1.0418	0.0011870
0.40208	1.0384	0.0011885
0.40251	1.0351	0.0011993
0.40295	1.0306	0.0012309
0.40338	1.0261	0.0012397
0.40381	1.0221	0.0012219
0.40425	1.0189	0.0012094
0.40468	1.0155	0.0012461
0.40512	1.0118	0.0013014
0.40555	1.0084	0.0011796
0.40598	1.0047	0.0011828
0.40642	1.0009	0.0011890
0.40685	0.99749	0.0012054
0.40729	0.99372	0.0012186
0.40772	0.99031	0.0012941
0.40816	0.98646	0.0011576
0.40859	0.98310	0.0011580
0.40902	0.98022	0.0011586
0.40946	0.97714	0.0011596
0.40989	0.97425	0.0011626
0.41033	0.97087	0.0011682
0.41076	0.96679	0.0011804
0.41119	0.96313	0.0012634
0.41163	0.95968	0.0011431
0.41206	0.95658	0.0011420
0.41250	0.95333	0.0011413
0.41293	0.95024	0.0011405
0.41336	0.94699	0.0011391
0.41380	0.94392	0.0011391
0.41423	0.94119	0.0011404
0.41467	0.93740	0.0011429
0.41510	0.93388	0.0011433
0.41553	0.93111	0.0011479
